"London Boroughs and the City of London — Population over 20,000",,,
"Source: ONS mid-2022 population estimates, via Wikipedia – List of London boroughs. City of London (2021 census: ~8,600) is below the 20,000 threshold and excluded from the ranked list.",,,
,,,
Rank,Borough,Type,Population (2022 est.)
1,Croydon,London Borough,"392,224"
2,Barnet,London Borough,"389,101"
3,Ealing,London Borough,"369,937"
4,Newham,London Borough,"358,645"
5,Brent,London Borough,"341,221"
6,Bromley,London Borough,"329,578"
7,Wandsworth,London Borough,"329,035"
8,Enfield,London Borough,"327,224"
9,Tower Hamlets,London Borough,"325,789"
10,Lambeth,London Borough,"316,812"
11,Southwark,London Borough,"311,913"
12,Redbridge,London Borough,"310,911"
13,Hillingdon,London Borough,"310,681"
14,Lewisham,London Borough,"298,653"
15,Greenwich,London Borough,"291,080"
16,Hounslow,London Borough,"290,488"
17,Waltham Forest,London Borough,"275,887"
18,Havering,London Borough,"264,703"
19,Haringey,London Borough,"261,811"
20,Hackney,London Borough,"261,491"
21,Harrow,London Borough,"261,185"
22,Bexley,London Borough,"247,835"
23,Islington,London Borough,"220,373"
24,Barking and Dagenham,London Borough,"219,992"
25,Camden,London Borough,"218,049"
26,Westminster,London Borough,"211,365"
27,Merton,London Borough,"210,709"
28,Sutton,London Borough,"209,602"
29,Richmond upon Thames,London Borough,"194,894"
30,Hammersmith and Fulham,London Borough,"185,238"
31,Kingston upon Thames,London Borough,"168,302"
32,Kensington and Chelsea,London Borough,"146,154"
,Total (32 boroughs),,"8,850,882"
